FIRE_ID,FIRE_NAME,YEAR,ACRES,latitude,longitude
CA3601111879719850712,TULARE 4,1985,1290.0,36.01068951399146,-118.79711775724613
CA3544311877719850503,ADELAIDE,1985,1054.0,35.44289907123969,-118.7756056242423
CA3672712076819850609,PONOCHE 2,1985,7508.0,36.73140094290336,-120.76690618531418
CA3590312056319850702,LOWES,1985,2708.0,35.90432107966359,-120.5657859761791
CA3637912058319850706,LOSGATOSIV,1985,20357.0,36.38228739088959,-120.58174560650384
CA3599412057519850706,BIG SANDY,1985,3139.0,35.99207720249037,-120.57526587703543
CA3603712055919850706,ANDREWS,1985,5071.0,36.03807312817371,-120.56102357085915
CA4030512015819850519,SKEDADDLE,1985,1358.0,40.30574354322322,-120.15665808967431
NV4024611989419850619,DRY VALLEY,1985,15749.0,40.25223672376467,-119.88714209979342
CA4034312052019850807,BASS HILL,1985,2495.0,40.34264853963398,-120.5160788201918
CA3985112177219850611,ROCK CREEK,1985,1169.0,39.85055394376907,-121.77330153166469
CA3844612209319850831,MILLER,1985,2027.0,38.44616981758887,-122.09205568345448
NV3983611975019850718,BEDEL FLAT,1985,9490.0,39.84356030097864,-119.75776198449245
NV3922011851919850729,COCOON MTS,1985,8000.0,39.21969947781728,-118.51772374724726
NV4026011966419850620,BIA 6,1985,10226.0,40.26288818891799,-119.66427223225644
CA3976912001319850708,HAL JNCT 2,1985,2427.0,39.765729313226515,-120.01229529219297
NV3985111997419850708,LONG VA,1985,12299.0,39.85377400162459,-119.98017728234356
NV3974811971719850708,HUNGRY VA3,1985,18177.0,39.75329884499132,-119.71847082379587
NV3949311938319850707,GOOSEBERRY,1985,29290.0,39.490643347801,-119.37036748129107
NV4170911855219850728,HOWARD,1985,1453.0,41.70815564193073,-118.55011543585087
NV4172611879419850619,KNOTT CK.,1985,3686.0,41.72272931359595,-118.79459398908604
NV4044811932019850706,EMPIRE,1985,7021.0,40.453784912395825,-119.32072261004517
NV3982811930519850707,NIXON,1985,1226.0,39.8282223814252,-119.30661202093295
NV4191411853519850708,WILDER,1985,39482.0,41.92570317791705,-118.53074087186322
NV4102911945819850708,MIDDLEFRK,1985,15950.0,41.022940104981,-119.46023206991217
NV4098111952519850709,FOX CYN,1985,1302.0,40.98119894241564,-119.52249572136111
CA3815612073919850917,BEAR MTN. 4,1985,1473.0,38.153874167886535,-120.73674561469137
CA4056412196919850827,BLUE MTN. WEST,1985,4627.0,40.5636583480122,-121.97057221226834
CA3460411991919850912,UNNAMED,1985,2720.0,34.60082435457619,-119.92182966763123
CA3586112056119850717,UNNAMED,1985,1519.0,35.8604442075134,-120.5619250656058
CA3885912285619850613,UNNAMED,1985,9655.0,38.85697421360131,-122.8604935650582
CA3662312097919850526,BUMB,1985,1298.0,36.63110495542783,-120.99070519988557
CA3634812146719850610,PINEY CREEK,1985,1594.0,36.34983924849715,-121.46669764232105
CA3606512116519850708,CHERRY,1985,41654.0,36.06844032757651,-121.1533721664571
CA3406011868219851014,PIUMA FIRE,1985,5425.0,34.04736506281666,-118.69672493891741
CA3424911865419851014,BOX CANYON (PIONEER) FIRE,1985,1247.0,34.24788458924006,-118.65198435592802
CA3411711885719850630,SHERWOOD FIRE,1985,3897.0,34.105370811148724,-118.86445367102112
CA4059212068919850708,MURRER,1985,1201.0,40.59093293506541,-120.69015401490131
CA3880512252719850907,HIDDEN VALLEY,1985,2042.0,38.804405065322605,-122.5236900367748
CA3874612210319851008,BALD MT.,1985,5339.0,38.751476601732996,-122.10525699407363
